,Id,Name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
15271,15271,BurgerKing,Yes,No,3.8,560,Electronic City,Quick Bites,"Burgers, Chocolate Shake, Chicken Fries, Veg Whopper, Chicken Whopper, Veg Burger, Grilled Chicken Burger","Burger, Fast Food, Beverages",600,Dine-out
15272,15272,HotAttack,Yes,No,3.6,88,Electronic City,Quick Bites,"Chicken Grill, Shawarma, Coconut Juice","North Indian, Chinese, Biryani",400,Dine-out
15273,15273,SriManjunathaFoods,Yes,No,3.6,14,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",250,Dine-out
15274,15274,MyCafe,No,No,3.6,16,Electronic City,Quick Bites,NA,"North Indian, Chinese, Fast Food",350,Dine-out
15275,15275,PotBiryani,Yes,No,2.8,297,Electronic City,Quick Bites,"Pot Biryani, Paneer Biryani, Tandoori Chicken, Chicken Chettinad, Egg Biryani, Chicken Dum Biryani, Kulcha","North Indian, Chinese, Biryani, Seafood",600,Dine-out
15276,15276,toExpressBiriyanis,Yes,No,3.5,22,Electronic City,Quick Bites,NA,"Biryani, Kebab",300,Dine-out
15277,15277,PizzaHut,Yes,No,2.7,195,Electronic City,Quick Bites,"Garlic Bread, Pasta",Pizza,750,Dine-out
15278,15278,Foodiez,Yes,No,3.6,82,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
15279,15279,RuchieRich,No,No,3.5,134,Electronic City,Quick Bites,NA,"Biryani, Fast Food, North Indian",200,Dine-out
15281,15281,WOWMomo,Yes,No,3.6,98,Electronic City,Food Court,Chocolate Momos,"Tibetan, Momos",400,Dine-out
15282,15282,ChaiCafe,Yes,No,3.6,10,Electronic City,Quick Bites,NA,"Fast Food, Rolls",300,Dine-out
15283,15283,TrueSouth,Yes,No,0.0,0,Electronic City,Quick Bites,NA,"Beverages, Fast Food",200,Dine-out
15285,15285,SaiGrand,No,No,0.0,0,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Dine-out
15286,15286,AnnapurnaAndhraHotel,Yes,No,3.3,5,Electronic City,Quick Bites,NA,"Mughlai, Chinese, North Indian",400,Dine-out
15287,15287,AdyarAnandBhavanSweets,No,No,0.0,0,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",200,Dine-out
15288,15288,KingsAppetite,Yes,No,3.7,45,Electronic City,"Food Court, Quick Bites",Prompt Service,"North Indian, Chinese",500,Dine-out
15289,15289,Subway,Yes,No,3.9,146,Electronic City,Quick Bites,NA,"Salad, Fast Food",600,Dine-out
15290,15290,GrandTajDurbar,No,No,3.5,12,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
15291,15291,SrijisMithai,No,No,3.4,5,Electronic City,"Dessert Parlor, Sweet Shop",NA,"Desserts, Mithai",150,Dine-out
15292,15292,HalliKitchen,Yes,No,2.5,63,Electronic City,Quick Bites,NA,South Indian,300,Dine-out
15293,15293,NewHotelPrashanth,No,No,3.1,8,Electronic City,Quick Bites,NA,"Fast Food, Andhra",300,Dine-out
15294,15294,HotelFoodZone,No,No,3.3,9,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Dine-out
15295,15295,AndhraKitchen,Yes,No,3.9,45,Electronic City,Quick Bites,NA,Andhra,400,Dine-out
15296,15296,EatNMeet,Yes,No,2.7,159,Electronic City,Quick Bites,NA,"Kerala, South Indian, North Indian, Chinese, Beverages",500,Dine-out
15297,15297,Kaaram,Yes,No,3.4,52,Electronic City,Food Court,Kaaram Biryani,"Andhra, Biryani",500,Dine-out
15298,15298,HanchiThinnuva,Yes,No,3.5,17,Electronic City,Quick Bites,NA,South Indian,300,Dine-out
15299,15299,SaltAndSpice,No,No,3.2,77,Electronic City,Quick Bites,NA,"North Indian, Kerala",450,Dine-out
15303,15303,KathiJunction,Yes,No,2.8,44,Electronic City,Quick Bites,NA,"Rolls, North Indian, Mughlai",400,Dine-out
15304,15304,KababjiCafe,Yes,No,0.0,0,Electronic City,Quick Bites,NA,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",300,Dine-out
15305,15305,AndhraSpicyFoodCourt,Yes,No,3.2,22,Electronic City,Quick Bites,NA,"Andhra, Biryani",400,Dine-out
15306,15306,Bawarchi,No,No,3.0,29,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Dine-out
15307,15307,FoodPlanet,No,No,3.1,5,Electronic City,Quick Bites,NA,"North Indian, Chinese, Kerala",400,Dine-out
15308,15308,BachelorsSpecialBiriyani,No,No,3.3,6,Electronic City,Quick Bites,NA,"Biryani, North Indian, South Indian",250,Dine-out
15309,15309,SweetRevenge,No,No,3.3,9,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Fast Food",300,Dine-out
15310,15310,EFoodsRegalia,No,No,3.1,11,Electronic City,Quick Bites,NA,"South Indian, Chinese",550,Dine-out
15327,15327,FrenchBakeHouse,No,No,3.3,8,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Fast Food, Burger, Rolls, Beverages",350,Dine-out
15328,15328,Vyanjan,Yes,No,3.3,12,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Dine-out
15329,15329,JustBake,Yes,No,3.2,14,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Desserts",400,Dine-out
15331,15331,ChickBlast,No,No,3.3,6,Electronic City,Quick Bites,NA,Fast Food,400,Dine-out
15332,15332,TellimagicRestaurant,Yes,No,3.5,12,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese",400,Dine-out
15334,15334,AndhraChettinadCuisine,No,No,3.6,24,Electronic City,Quick Bites,NA,"Andhra, South Indian, Chettinad",250,Dine-out
15335,15335,BasveshwaraKhaanavali,No,No,3.5,15,Electronic City,Quick Bites,NA,South Indian,150,Dine-out
15336,15336,CafeShawamek,No,No,3.2,4,Electronic City,Quick Bites,NA,Fast Food,300,Dine-out
15366,15366,SharonHotel,No,No,0.0,0,Electronic City,Quick Bites,NA,"Kerala, South Indian",300,Dine-out
15367,15367,TheJuiceShop,No,No,0.0,0,Electronic City,Quick Bites,NA,"Juices, North Indian",200,Dine-out
15368,15368,ReyniksFlavours,No,No,0.0,0,Electronic City,Quick Bites,NA,North Indian,150,Dine-out
15369,15369,WowMangloreMultiCuisineRestaurant,No,No,0.0,0,Electronic City,Quick Bites,NA,"Fast Food, Kerala, Mangalorean, Seafood, South Indian",300,Dine-out
15371,15371,GoliVadaPavNo,Yes,No,3.4,7,Electronic City,Quick Bites,NA,Street Food,200,Dine-out
15372,15372,VMSStarBiriyani,No,No,3.1,5,Electronic City,Quick Bites,NA,"Biryani, South Indian",350,Dine-out
15373,15373,RoyalBengalCorner,Yes,No,3.8,307,Electronic City,Quick Bites,"Rolls, Paratha, Panneer Butter Masala","Chinese, Fast Food, North Indian, Rolls",250,Dine-out
15374,15374,ChocoNutCafe,Yes,No,3.2,19,Electronic City,Quick Bites,NA,Desserts,150,Dine-out
15377,15377,SwadEPunjab,Yes,No,0.0,0,Electronic City,Quick Bites,NA,"North Indian, Chinese, Fast Food, Biryani",500,Dine-out
15380,15380,TodayCoffee,Yes,No,0.0,0,Electronic City,Quick Bites,NA,South Indian,150,Dine-out
15382,15382,ShivShankarHotel,No,No,3.5,10,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Dine-out
15384,15384,PathummasKitchen,No,No,3.2,7,Electronic City,Quick Bites,NA,North Indian,200,Dine-out
15385,15385,BigAppleRestaurant,No,No,3.2,4,Electronic City,Quick Bites,NA,"North Indian, Chinese, Pizza, Burger",300,Dine-out
15386,15386,StarAmburDumBiryani,No,No,3.2,5,Electronic City,Quick Bites,NA,Biryani,200,Dine-out
15387,15387,AndhraFoodCafeAFC,Yes,No,3.3,46,Electronic City,Quick Bites,NA,"Andhra, North Indian, South Indian",250,Dine-out
15388,15388,HotelA,No,No,3.3,5,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
15390,15390,SriMathaSagar,No,No,3.2,4,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Dine-out
15391,15391,HotelThalassery,No,No,3.4,8,Electronic City,Quick Bites,NA,"Kerala, South Indian",200,Dine-out
15392,15392,TheFoodwareVeg,No,No,3.8,19,Electronic City,Quick Bites,NA,South Indian,400,Dine-out
15394,15394,TheMagicChef,No,No,3.7,28,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
15395,15395,SandeshSweetsChats,No,No,2.9,126,Electronic City,Quick Bites,"Chaat, Rasmalai, Samosa, Pav Bhaji, Raj Kachori","South Indian, Street Food, Beverages",350,NA
15397,15397,HamaraKozhikode,No,No,3.3,5,Electronic City,Quick Bites,NA,"Kerala, Juices",300,Dine-out
15398,15398,ISiriRestaurantAndCaterers,No,No,3.4,6,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese",400,Dine-out
15402,15402,Chikeys,No,No,3.0,19,Electronic City,Quick Bites,NA,"Burger, Fast Food",400,Dine-out
15404,15404,TillTheLastBite,No,No,3.4,7,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
15405,15405,HamKhimChineseFastFood,No,No,3.1,7,Electronic City,Quick Bites,NA,Chinese,300,Dine-out
15406,15406,HOTBOX,No,No,3.6,28,Electronic City,Quick Bites,NA,"North Indian, Chinese",200,Dine-out
15407,15407,FoodiezTheRestaurant,No,No,3.0,23,Electronic City,Quick Bites,NA,"Street Food, Chinese, North Indian, South Indian",400,Dine-out
15409,15409,MarwaFamilyRestaurant,No,No,3.0,8,Electronic City,Quick Bites,NA,"North Indian, Chinese",500,Dine-out
15412,15412,TastyFunda,No,No,3.3,4,Electronic City,Quick Bites,NA,"North Indian, Chinese",200,Dine-out
